Date,Price,Open,High,Low,Vol.,Change %
01/06/2022,"1,365.23","1,365.47","1,372.99","1,359.51",183.07M,-1.65%
01/05/2022,"1,388.09","1,382.46","1,389.95","1,381.46",177.25M,0.33%
01/04/2022,"1,383.49","1,381.77","1,390.93","1,377.86",184.09M,0.83%
01/03/2022,"1,372.06","1,367.34","1,376.24","1,367.34",118.23M,0.76%
12/31/2021,"1,361.69","1,362.61","1,364.04","1,359.52",40.64M,-0.27%
12/30/2021,"1,365.34","1,361.13","1,366.64","1,359.87",79.35M,0.38%
12/29/2021,"1,360.20","1,365.75","1,368.30","1,355.52",92.68M,-0.40%
12/28/2021,"1,365.65","1,360.01","1,368.15","1,359.86",83.78M,0.42%
12/27/2021,"1,360.00","1,345.89","1,361.61","1,345.89",73.35M,0.77%
12/24/2021,"1,349.62","1,351.68","1,354.69","1,349.54",29.73M,-0.27%
12/23/2021,"1,353.32","1,345.37","1,355.16","1,341.80",129.17M,1.03%
12/22/2021,"1,339.48","1,329.91","1,339.55","1,324.73",125.43M,1.05%
12/21/2021,"1,325.62","1,317.04","1,325.84","1,310.73",177.30M,1.76%
12/20/2021,"1,302.63","1,286.97","1,305.28","1,284.63",190.08M,-0.99%
12/17/2021,"1,315.69","1,319.96","1,323.46","1,306.02",334.12M,-0.80%
12/16/2021,"1,326.28","1,339.64","1,341.25","1,326.21",227.97M,0.88%
12/15/2021,"1,314.70","1,316.51","1,320.59","1,312.76",165.93M,0.23%
12/14/2021,"1,311.69","1,328.91","1,331.86","1,310.87",187.63M,-0.83%
12/13/2021,"1,322.64","1,337.59","1,342.91","1,321.72",162.10M,-0.79%
12/10/2021,"1,333.19","1,329.70","1,341.66","1,329.70",134.59M,-0.41%
12/09/2021,"1,338.73","1,348.95","1,349.41","1,336.12",147.40M,-0.49%
12/08/2021,"1,345.27","1,354.83","1,361.71","1,345.27",183.99M,-0.85%
12/07/2021,"1,356.77","1,331.53","1,357.39","1,331.31",211.36M,3.18%
12/06/2021,"1,314.98","1,306.87","1,317.88","1,299.13",186.56M,1.27%
12/03/2021,"1,298.50","1,318.18","1,319.63","1,293.01",192.89M,-0.71%
12/02/2021,"1,307.80","1,309.03","1,317.89","1,299.80",218.43M,-1.43%
12/01/2021,"1,326.74","1,309.98","1,329.77","1,305.22",220.90M,2.12%
11/30/2021,"1,299.21","1,295.49","1,312.75","1,288.95",410.27M,-1.01%
11/29/2021,"1,312.45","1,322.34","1,324.29","1,309.96",236.07M,0.65%
11/26/2021,"1,303.92","1,312.80","1,326.18","1,302.73",358.40M,-4.28%
11/25/2021,"1,362.23","1,359.72","1,362.80","1,356.62",122.48M,0.65%
11/24/2021,"1,353.39","1,354.66","1,359.71","1,340.87",193.91M,0.12%
11/23/2021,"1,351.77","1,356.08","1,364.90","1,345.85",180.92M,-1.17%
11/22/2021,"1,367.74","1,376.17","1,378.40","1,367.64",208.68M,-0.36%
11/19/2021,"1,372.66","1,385.13","1,387.40","1,367.35",263.64M,-0.68%
11/18/2021,"1,382.00","1,385.72","1,391.40","1,380.03",163.91M,-0.43%
11/17/2021,"1,387.91","1,388.32","1,390.30","1,386.62",154.15M,0.01%
11/16/2021,"1,387.75","1,387.96","1,390.58","1,383.55",165.00M,0.39%
11/15/2021,"1,382.32","1,376.66","1,382.38","1,376.34",153.89M,0.47%
11/12/2021,"1,375.85","1,371.02","1,376.06","1,368.93",140.70M,0.34%
11/11/2021,"1,371.18","1,364.04","1,371.27","1,363.14",154.04M,0.12%
11/10/2021,"1,369.54","1,372.94","1,374.46","1,363.09",184.47M,-0.07%
11/09/2021,"1,370.46","1,368.95","1,377.25","1,367.78",149.82M,-0.16%
11/08/2021,"1,372.62","1,372.88","1,376.74","1,372.42",143.90M,-0.03%
11/05/2021,"1,373.10","1,365.41","1,377.36","1,365.33",182.90M,0.51%
11/04/2021,"1,366.11","1,365.63","1,367.85","1,362.57",182.34M,0.57%
11/03/2021,"1,358.30","1,351.96","1,358.51","1,351.96",153.64M,0.32%
11/02/2021,"1,353.92","1,348.29","1,355.18","1,348.29",148.23M,0.13%
11/01/2021,"1,352.10","1,349.48","1,355.03","1,347.24",156.75M,0.67%
10/29/2021,"1,343.09","1,335.27","1,343.36","1,329.54",205.41M,0.00%
10/28/2021,"1,343.15","1,333.98","1,343.15","1,333.64",198.80M,0.69%
10/27/2021,"1,333.93","1,335.35","1,337.50","1,330.48",173.80M,-0.18%
10/26/2021,"1,336.35","1,329.18","1,338.08","1,327.98",177.77M,0.61%
10/25/2021,"1,328.30","1,334.98","1,334.98","1,326.93",140.00M,-0.24%
10/22/2021,"1,331.44","1,328.39","1,336.18","1,327.60",149.30M,0.79%
10/21/2021,"1,321.01","1,315.30","1,323.79","1,313.84",148.98M,-0.05%
10/20/2021,"1,321.73","1,309.64","1,323.08","1,309.64",156.84M,0.46%
10/19/2021,"1,315.67","1,316.24","1,317.57","1,312.09",145.60M,0.29%
10/18/2021,"1,311.86","1,314.25","1,314.51","1,305.69",146.29M,-0.64%
10/15/2021,"1,320.37","1,318.60","1,321.75","1,313.83",218.10M,0.72%
10/14/2021,"1,310.91","1,303.26","1,312.14","1,299.08",169.84M,1.48%
10/13/2021,"1,291.84","1,276.46","1,293.71","1,274.41",179.77M,0.85%
10/12/2021,"1,280.93","1,269.30","1,282.52","1,269.30",167.74M,-0.26%
10/11/2021,"1,284.27","1,281.93","1,286.13","1,276.05",163.81M,0.07%
10/08/2021,"1,283.40","1,292.02","1,293.23","1,283.26",173.33M,-0.61%
10/07/2021,"1,291.25","1,285.95","1,292.69","1,279.13",207.50M,1.70%
10/06/2021,"1,269.63","1,271.30","1,272.86","1,255.85",242.04M,-1.30%
10/05/2021,"1,286.31","1,270.89","1,286.49","1,269.91",198.73M,1.55%
10/04/2021,"1,266.67","1,268.84","1,278.26","1,264.33",176.03M,-0.73%
10/01/2021,"1,275.94","1,258.07","1,280.40","1,256.86",213.96M,0.00%
09/30/2021,"1,275.93","1,292.96","1,295.39","1,275.23",257.76M,-0.48%
09/29/2021,"1,282.07","1,281.37","1,291.34","1,280.49",193.56M,0.33%
09/28/2021,"1,277.87","1,302.06","1,303.32","1,276.24",257.51M,-2.11%
09/27/2021,"1,305.39","1,315.34","1,316.12","1,304.32",208.29M,-0.02%
09/24/2021,"1,305.63","1,313.59","1,314.16","1,303.98",161.80M,-0.97%
09/23/2021,"1,318.42","1,317.27","1,323.48","1,314.30",176.34M,0.94%
09/22/2021,"1,306.13","1,301.77","1,306.56","1,297.72",177.01M,1.14%
09/21/2021,"1,291.36","1,284.58","1,294.97","1,284.58",237.58M,1.35%
09/20/2021,"1,274.15","1,274.38","1,277.09","1,262.72",243.81M,-1.58%
09/17/2021,"1,294.64","1,315.87","1,317.92","1,291.48",392.77M,-0.77%
09/16/2021,"1,304.75","1,303.92","1,311.17","1,303.74",183.62M,0.47%
09/15/2021,"1,298.60","1,310.49","1,311.71","1,298.58",190.34M,-0.93%
09/14/2021,"1,310.78","1,310.64","1,313.74","1,301.84",146.37M,-0.05%
09/13/2021,"1,311.42","1,312.48","1,318.97","1,310.42",148.90M,0.20%
09/10/2021,"1,308.81","1,316.13","1,318.53","1,306.62",155.97M,-0.15%
09/09/2021,"1,310.80","1,302.03","1,315.55","1,299.01",153.92M,-0.12%
